start_base,end_base,runs_scored,outs,start_outs,end_outs,start_state,end_state,re_before,re_after,value,norm_value
"(1, 0, 1)","(1, 0, 0)",1,0,2,2,101_2,100_2,0.5078118268761308,0.23259963183813465,0.7247878049620038,0.17103726438587175
"(1, 0, 1)","(0, 1, 0)",0,1,2,3,101_2,010_3,0.5078118268761308,0.0,-0.5078118268761308,-1.0
"(1, 0, 1)","(0, 0, 1)",0,1,2,3,101_2,001_3,0.5078118268761308,0.0,-0.5078118268761308,-1.0
"(1, 0, 1)","(0, 0, 1)",1,0,2,2,101_2,001_2,0.5078118268761308,0.3720836162436255,0.8642717893674947,0.303554700952247
"(1, 0, 1)","(1, 0, 0)",0,1,2,3,101_2,100_3,0.5078118268761308,0.0,-0.5078118268761308,-1.0
"(1, 0, 1)","(0, 0, 0)",1,1,2,3,101_2,000_3,0.5078118268761308,0.0,0.4921881731238692,-0.049945145091806475
"(1, 0, 1)","(0, 0, 0)",2,0,2,2,101_2,000_2,0.5078118268761308,0.10514160279015194,1.5973297759140213,1.0
"(1, 0, 1)","(1, 0, 1)",0,0,2,2,101_2,101_2,0.5078118268761308,0.5078118268761308,0.0,-0.5175509084965328
"(1, 1, 0)","(0, 1, 1)",0,0,2,2,110_2,011_2,0.4491917591125198,0.5857316399779128,0.13653988086539298,-0.4435228117656457
"(1, 1, 0)","(1, 0, 1)",0,0,2,2,110_2,101_2,0.4491917591125198,0.5078118268761308,0.058620067763611006,-0.5175509084965327
"(1, 1, 0)","(1, 0, 0)",0,1,2,3,110_2,100_3,0.4491917591125198,0.0,-0.4491917591125198,-1.0
"(1, 1, 0)","(0, 1, 0)",0,1,2,3,110_2,010_3,0.4491917591125198,0.0,-0.4491917591125198,-1.0
"(1, 1, 0)","(0, 0, 1)",0,1,2,3,110_2,001_3,0.4491917591125198,0.0,-0.4491917591125198,-1.0
"(1, 1, 0)","(0, 1, 0)",1,0,2,2,110_2,010_2,0.4491917591125198,0.33039304411579395,0.8812012850032742,0.26394637049830094
"(1, 1, 0)","(0, 0, 1)",1,0,2,2,110_2,001_2,0.4491917591125198,0.3720836162436255,0.9228918571311058,0.30355470095224746
"(1, 1, 0)","(0, 0, 0)",2,0,2,2,110_2,000_2,0.4491917591125198,0.10514160279015194,1.655949843677632,1.0
"(1, 1, 0)","(0, 0, 0)",1,1,2,3,110_2,000_3,0.4491917591125198,0.0,0.5508082408874801,-0.04994514509180625
"(1, 1, 0)","(1, 1, 0)",0,0,2,2,110_2,110_2,0.4491917591125198,0.4491917591125198,0.0,-0.5732431884703987
"(1, 1, 0)","(1, 0, 0)",1,0,2,2,110_2,100_2,0.4491917591125198,0.23259963183813465,0.7834078727256149,0.17103726438587197
"(1, 1, 1)","(0, 1, 1)",1,0,2,2,111_2,011_2,0.7823411031437447,0.5857316399779128,0.8033905368341681,0.02135866432180733
"(1, 1, 1)","(1, 1, 0)",1,0,2,2,111_2,110_2,0.7823411031437447,0.4491917591125198,0.666850655968775,-0.06658571846750183
"(1, 1, 1)","(1, 1, 0)",0,1,2,3,111_2,110_3,0.7823411031437447,0.0,-0.7823411031437447,-1.0
"(1, 1, 1)","(0, 1, 1)",0,1,2,3,111_2,011_3,0.7823411031437447,0.0,-0.7823411031437447,-1.0
"(1, 1, 1)","(1, 0, 0)",1,1,2,3,111_2,100_3,0.7823411031437447,0.0,0.21765889685625528,-0.35590699045644725
"(1, 1, 1)","(1, 0, 1)",1,0,2,2,111_2,101_2,0.7823411031437447,0.5078118268761308,0.7254707237323861,-0.028828942601990537
"(1, 1, 1)","(0, 1, 0)",1,1,2,3,111_2,010_3,0.7823411031437447,0.0,0.21765889685625528,-0.35590699045644725
"(1, 1, 1)","(0, 1, 0)",2,0,2,2,111_2,010_2,0.7823411031437447,0.33039304411579395,1.5480519409720492,0.500989869203903
"(1, 1, 1)","(1, 0, 1)",0,1,2,3,111_2,101_3,0.7823411031437447,0.0,-0.7823411031437447,-1.0
"(1, 1, 1)","(1, 1, 1)",0,0,2,2,111_2,111_2,0.7823411031437447,0.7823411031437447,0.0,-0.4960995643865225
"(1, 1, 1)","(0, 0, 1)",2,0,2,2,111_2,001_2,0.7823411031437447,0.3720836162436255,1.5897425130998808,0.5278424752753104
"(1, 1, 1)","(0, 0, 0)",3,0,2,2,111_2,000_2,0.7823411031437447,0.10514160279015194,2.3228004996464073,1.0
"(1, 1, 1)","(0, 0, 1)",1,1,2,3,111_2,001_3,0.7823411031437447,0.0,0.21765889685625528,-0.35590699045644725
